Id,avg_totalsteps,day_of_the_week,avg_time_in_bed,avg_time_asleep,avg_time_awake
1844505072,6697.0,2016-04-12,961.0,652.0,309.0
1844505072,4929.0,2016-04-13,961.0,652.0,309.0
1844505072,7937.0,2016-04-14,961.0,652.0,309.0
1844505072,3844.0,2016-04-15,961.0,652.0,309.0
1844505072,3414.0,2016-04-16,961.0,652.0,309.0
1844505072,197.0,2016-04-19,961.0,652.0,309.0
1844505072,5372.0,2016-04-22,961.0,652.0,309.0
1844505072,3570.0,2016-04-23,961.0,652.0,309.0
1844505072,6907.0,2016-04-28,961.0,652.0,309.0
1844505072,4920.0,2016-04-29,961.0,652.0,309.0
1844505072,4014.0,2016-04-30,961.0,652.0,309.0
1844505072,2080.0,2016-05-04,961.0,652.0,309.0
1844505072,2237.0,2016-05-05,961.0,652.0,309.0
1844505072,44.0,2016-05-06,961.0,652.0,309.0
1844505072,2573.0,2016-05-01,961.0,652.0,309.0
1844505072,4525.0,2016-04-17,961.0,652.0,309.0
1844505072,4597.0,2016-04-18,961.0,652.0,309.0
1844505072,8054.0,2016-04-21,961.0,652.0,309.0
1844505072,0.0,2016-04-24,961.0,652.0,309.0
1844505072,0.0,2016-04-25,961.0,652.0,309.0
1844505072,0.0,2016-04-26,961.0,652.0,309.0
1844505072,4.0,2016-04-27,961.0,652.0,309.0
1844505072,0.0,2016-05-02,961.0,652.0,309.0
1844505072,0.0,2016-05-07,961.0,652.0,309.0
1844505072,0.0,2016-05-08,961.0,652.0,309.0
1844505072,0.0,2016-05-09,961.0,652.0,309.0
1844505072,0.0,2016-05-10,961.0,652.0,309.0
1844505072,0.0,2016-05-11,961.0,652.0,309.0
1844505072,0.0,2016-05-12,961.0,652.0,309.0
1844505072,8.0,2016-04-20,961.0,652.0,309.0
1844505072,4059.0,2016-05-03,961.0,652.0,309.0
3977333714,13459.0,2016-04-16,461.14,293.64,167.5
3977333714,10415.0,2016-04-17,461.14,293.64,167.5
3977333714,12414.0,2016-04-19,461.14,293.64,167.5
3977333714,11658.0,2016-04-20,461.14,293.64,167.5
3977333714,12058.0,2016-04-23,461.14,293.64,167.5
3977333714,13238.0,2016-04-30,461.14,293.64,167.5
3977333714,16520.0,2016-05-02,461.14,293.64,167.5
3977333714,13559.0,2016-05-04,461.14,293.64,167.5
3977333714,12312.0,2016-05-05,461.14,293.64,167.5
3977333714,11677.0,2016-05-06,461.14,293.64,167.5
3977333714,11550.0,2016-05-07,461.14,293.64,167.5
3977333714,13585.0,2016-05-08,461.14,293.64,167.5
3977333714,14687.0,2016-05-09,461.14,293.64,167.5
3977333714,13072.0,2016-05-10,461.14,293.64,167.5
3977333714,6093.0,2016-04-21,461.14,293.64,167.5
